Depth,RxoRt,RLL3,SP,RILD,MN,MI,MCAL,DCAL,RHOB,RHOC,DPOR,CNLS,GR
204.5,207.021,0.3986,52.9789,79.6458,-0.3686,0.1654,5.0877,1.8888,1.7046,-0.6371,58.7975,31.8368,66.7761
205,207.7531,0.399,51.6297,81.2641,-0.3682,0.163,5.1053,1.8884,1.7037,-0.644,58.8508,32.9809,68.2127
205.5,208.1873,0.4001,50.0927,82.3246,-0.3815,0.1617,5.0924,1.8876,1.7128,-0.6441,58.317,33.9116,69.6684
206,209.1157,0.4015,48.476,84.4809,-0.3924,0.1616,5.0872,1.8883,1.732,-0.6361,57.1937,32.4941,72.6736
206.5,215.7306,0.4018,46.9342,100.2792,-0.3972,0.1614,5.1027,1.8893,1.7583,-0.6231,55.6545,32.2661,74.7554
207,244.2391,0.4024,45.635,208.4636,-0.4007,0.1597,5.0987,1.8887,1.7884,-0.61,53.8953,33.571,72.284
211,247.5832,0.4097,40.5009,230.645,-0.3905,0.1633,5.0876,1.888,1.8651,-0.6196,49.4086,35.5229,58.6698
211.5,191.9992,0.4097,37.2112,55.5462,-0.3909,0.1647,5.0885,1.8888,1.8538,-0.6176,50.0728,37.4947,55.0073
212,178.6207,0.4091,32.2363,39.4384,-0.3898,0.1659,5.1005,1.8895,1.8484,-0.6134,50.3849,39.1556,57.0785
212.5,175.6774,0.4062,25.2791,37.3709,-0.3832,0.1658,5.0845,1.8891,1.8414,-0.6082,50.797,40.5706,63.6976
213,158.7778,0.3975,16.2445,27.2628,-0.3711,0.1685,5.0842,1.8872,1.8194,-0.5968,52.0834,40.0833,69.6789
213.5,115.1856,0.3899,5.3545,12.6033,-0.3345,0.1807,5.1014,1.8874,1.7766,-0.5584,54.5871,36.4425,71.7116
214,66.5961,0.463,-6.8239,6.5874,-0.2056,0.214,5.0896,1.8893,1.7256,-0.4662,57.5686,32.874,74.6967
214.5,27.1812,1.0213,-19.4817,4.7636,0.079,0.2707,5.0879,1.8902,1.6803,-0.326,60.2159,33.51,81.1841
215,-0.644,2.6993,-31.7706,4.3509,0.3789,0.3132,5.0983,1.89,1.64,-0.1796,62.571,37.2602,87.1963
215.5,-19.6463,6.4559,-43.015,4.3716,0.5145,0.3204,5.1025,1.8897,1.6023,-0.0636,64.7792,38.6932,87.3085
216,-33.4165,11.7076,-52.8444,4.344,0.5364,0.3174,5.092,1.8893,1.5695,0.0105,66.6936,37.1212,82.1493
216.5,-44.7417,14.6395,-61.2056,4.0274,0.5363,0.3178,5.0869,1.8884,1.5446,0.0491,68.1499,36.4796,74.0691
217,-50.1247,15.2842,-68.2738,3.9229,0.538,0.3194,5.1028,1.8883,1.5274,0.0644,69.1555,36.9582,68.7614
217.5,-40.2901,15.1617,-74.3171,5.277,0.5391,0.3199,5.093,1.8872,1.5155,0.0677,69.8533,36.6807,72.7421
218,-5.2613,14.9927,-79.5797,13.0676,0.5361,0.3185,5.0862,1.8874,1.5053,0.0662,70.4489,35.3735,78.4732
218.5,181.9865,14.9545,-84.2236,1567.6409,0.5281,0.3149,5.0956,1.8891,1.4931,0.0629,71.1657,32.2116,78.4307
220.5,51.2508,14.2848,-97.7881,53.7231,0.542,0.3137,5.1076,1.889,1.4431,0.0437,74.0905,29.4753,92.8938
221,29.3649,14.5159,-100.1691,30.7898,0.5463,0.3133,5.0895,1.889,1.4445,0.045,74.0044,33.2197,90.8294
221.5,23.172,14.7337,-102.3064,26.4181,0.5505,0.3138,5.0827,1.8895,1.4523,0.0495,73.5487,36.546,88.0774
222,21.5309,14.7247,-104.2733,25.4769,0.5678,0.3193,5.1011,1.8892,1.4733,0.0551,72.3225,38.5274,85.351
222.5,20.9717,14.5494,-106.1074,25.3593,0.6123,0.3357,5.098,1.8876,1.5213,0.0608,69.5154,38.5832,83.871
223,19.8815,14.6273,-107.8245,25.1267,0.6945,0.3683,5.0868,1.8875,1.6097,0.0654,64.3475,39.3747,83.1654
223.5,17.6547,15.4863,-109.4521,24.3393,0.7814,0.3985,5.0871,1.8884,1.7409,0.0675,56.6736,40.6627,84.3008
224,15.2489,16.5174,-111.0486,23.3115,0.8304,0.4073,5.0993,1.887,1.8983,0.0662,47.4677,38.6676,89.5309
224.5,13.9005,16.5665,-112.6851,22.4471,0.8505,0.4046,5.0853,1.8872,2.0445,0.0619,38.9154,33.9434,96.1425
225,14.0429,15.8133,-114.4057,21.8853,0.8591,0.4007,5.0893,1.8886,2.1416,0.0552,33.2384,31.1317,95.7376
225.5,15.4552,14.2983,-116.2029,21.795,0.8621,0.4007,5.1064,1.8888,2.1834,0.048,30.7926,32.1278,90.9927
226,17.1174,12.8485,-118.0305,22.2077,0.8746,0.4074,5.0954,1.8889,2.191,0.0422,30.3492,34.7536,88.2889
226.5,17.5779,13.6895,-119.8371,22.7286,0.8918,0.4144,5.0872,1.8894,2.1862,0.0389,30.6333,36.4657,87.3003
227,16.4156,15.4664,-121.5896,22.9018,0.895,0.4154,5.0959,1.8884,2.1827,0.039,30.8346,36.5171,86.5247
227.5,14.4664,16.1321,-123.2731,22.6558,0.8839,0.4091,5.0988,1.8874,2.1857,0.0424,30.6623,35.8524,89.4689
228,12.6684,16.3593,-124.8762,22.1942,0.8662,0.3989,5.0921,1.8889,2.1926,0.0479,30.2573,36.0194,97.0178
228.5,11.6175,16.4249,-126.3764,21.8259,0.8458,0.3896,5.0849,1.8896,2.1988,0.0538,29.8922,36.5041,104.5039
229,11.5685,16.2859,-127.7398,21.7901,0.8231,0.3825,5.1038,1.8896,2.201,0.0577,29.766,36.0663,112.2318
229.5,12.2422,16.1108,-128.9358,22.0366,0.7997,0.3751,5.0957,1.8891,2.198,0.0582,29.9391,35.8852,119.7184
230,13.0558,15.9997,-129.9583,22.3101,0.7788,0.3656,5.0894,1.8872,2.1927,0.0569,30.2501,37.7037,120.5545
230.5,13.6047,15.8371,-130.836,22.4088,0.7636,0.3561,5.1021,1.8873,2.1909,0.0566,30.3547,41.0458,113.0334
231,13.758,15.6616,-131.6231,22.2681,0.756,0.3487,5.0972,1.8887,2.1969,0.0592,30.0047,44.2722,105.7687
231.5,13.575,15.4877,-132.3732,21.9377,0.7549,0.3455,5.0881,1.8886,2.2094,0.064,29.2755,45.2131,106.4453
232,13.2276,15.3194,-133.1127,21.5371,0.7589,0.3477,5.0893,1.8891,2.2223,0.0692,28.5203,43.4162,108.3806
232.5,12.8219,15.1763,-133.8308,21.1416,0.7665,0.3535,5.0996,1.8888,2.2288,0.0727,28.1377,41.2076,106.9812
233,12.3649,15.0956,-134.4873,20.7518,0.7746,0.3596,5.083,1.8882,2.2257,0.0731,28.323,41.0377,107.5109
233.5,11.9052,15.0753,-135.0292,20.3596,0.7801,0.3634,5.0837,1.8887,2.215,0.0705,28.9459,43.3963,106.5553
234,11.5485,15.0144,-135.4019,19.9688,0.7824,0.3654,5.1012,1.8881,2.2028,0.0663,29.662,43.8111,100.1311
234.5,11.3678,14.7765,-135.559,19.5962,0.7825,0.3665,5.0966,1.8863,2.1942,0.0623,30.166,39.2914,95.4622
235,11.3288,14.2817,-135.4756,19.2811,0.7827,0.3668,5.0932,1.8871,2.191,0.0605,30.3482,33.4576,97.6002
235.5,11.2612,13.9742,-135.1682,19.0518,0.7845,0.3673,5.0959,1.889,2.1921,0.0619,30.2876,29.7281,106.3066
236,10.9869,14.0832,-134.7012,18.9023,0.7853,0.3689,5.1014,1.8888,2.1944,0.0649,30.1531,28.4092,115.0351
236.5,10.4823,14.3141,-134.1674,18.8123,0.7849,0.3712,5.0928,1.8889,2.1959,0.0673,30.0661,29.0869,115.0551
237,9.855,14.5875,-133.6489,18.7688,0.7861,0.3746,5.09,1.8895,2.1964,0.0684,30.0368,31.6587,107.5604
237.5,9.2506,14.802,-133.1893,18.7948,0.7892,0.3783,5.1041,1.8895,2.1962,0.0679,30.0465,35.2438,99.0444
238,8.7558,15.0097,-132.795,18.9372,0.7938,0.3819,5.0921,1.8886,2.1948,0.0653,30.1272,38.3778,93.7081
238.5,8.3245,15.3413,-132.4585,19.2171,0.8008,0.3871,5.0867,1.8868,2.1916,0.0604,30.313,38.7265,91.8295
239,7.8053,15.8679,-132.1795,19.6124,0.8144,0.3985,5.1018,1.886,2.1874,0.0553,30.5616,35.2421,93.5589
239.5,7.0217,16.4988,-131.9714,20.0811,0.8409,0.4146,5.0987,1.888,2.1838,0.0525,30.7696,31.7254,98.3467
240,5.8491,17.2426,-131.855,20.5742,0.8709,0.4233,5.0872,1.8882,2.182,0.0525,30.8753,32.6259,99.3173
240.5,4.3274,18.6974,-131.8486,21.0362,0.877,0.4174,5.0887,1.8864,2.1812,0.0528,30.9212,37.0439,90.9704
241,2.7518,20.3464,-131.9563,21.4449,0.8598,0.4072,5.1049,1.8862,2.1806,0.0513,30.9618,40.2379,79.8451
241.5,1.4999,21.4669,-132.1563,21.8155,0.844,0.4023,5.0877,1.8883,2.1803,0.0485,30.9741,39.6962,74.3286
242,0.7532,22.0867,-132.398,22.1396,0.8364,0.3983,5.0844,1.8895,2.1807,0.0456,30.9542,36.7697,77.5529
242.5,0.4995,22.5914,-132.6187,22.3819,0.8308,0.393,5.1015,1.8892,2.1799,0.0435,31.0021,32.6795,87.3154
243,0.6665,22.6532,-132.7793,22.522,0.8239,0.3896,5.0902,1.8883,2.1772,0.044,31.1575,28.391,92.5909
243.5,1.1165,22.0411,-132.8943,22.5643,0.8202,0.3894,5.0873,1.8889,2.1754,0.0491,31.266,27.205,88.1478
244,1.6349,21.3926,-133.0284,22.5408,0.8221,0.3894,5.0971,1.8895,2.177,0.0581,31.1723,31.0909,81.8195
244.5,2.0137,21.0904,-133.2589,22.4994,0.8247,0.3886,5.0995,1.8897,2.1812,0.0664,30.9236,37.2397,82.4175
245,2.1118,21.0127,-133.6311,22.4476,0.8248,0.3894,5.092,1.8897,2.1861,0.0706,30.6361,40.8479,92.2011
245.5,1.8985,21.2611,-134.1413,22.3372,0.8244,0.3914,5.0876,1.8897,2.1914,0.0716,30.328,40.4441,102.0991
246,1.5153,21.5568,-134.7503,22.139,0.8278,0.3932,5.1039,1.8897,2.1967,0.0717,30.0204,38.3479,105.9926
246.5,1.1908,21.4625,-135.4063,21.8776,0.837,0.3955,5.093,1.8893,2.2004,0.0718,29.8035,36.8459,109.331
247,1.0579,21.1401,-136.059,21.5926,0.8475,0.398,5.0877,1.8879,2.2025,0.0729,29.6762,36.409,114.0964
247.5,1.1191,20.7391,-136.665,21.3249,0.8554,0.3991,5.0972,1.8881,2.2044,0.0762,29.5685,36.6828,116.0762
248,1.2766,20.2964,-137.1912,21.0989,0.8633,0.4018,5.1069,1.8892,2.2048,0.0805,29.546,37.5773,115.8663
248.5,1.3554,19.9765,-137.6208,20.8895,0.8756,0.4101,5.0944,1.889,2.2022,0.0831,29.693,37.4026,111.3823
249,1.2545,19.933,-137.9564,20.6614,0.8946,0.4229,5.0937,1.887,2.1992,0.0841,29.8717,34.4649,103.5389
249.5,1.0415,19.9864,-138.2173,20.4046,0.9196,0.4368,5.0874,1.8867,2.1993,0.0852,29.8667,31.318,96.5672
250,0.8414,19.891,-138.431,20.1196,0.95,0.4496,5.1086,1.8886,2.2028,0.0869,29.663,30.7298,91.7606
250.5,0.7305,19.5024,-138.625,19.8328,0.9803,0.4572,5.0901,1.8895,2.2069,0.0887,29.4225,33.1281,91.0036
251,0.6826,18.9853,-138.8198,19.5907,1.0013,0.4593,5.0864,1.8895,2.2081,0.0891,29.3491,36.4037,93.7833
251.5,0.5633,18.9072,-139.0276,19.4003,1.0136,0.4616,5.0852,1.8883,2.2033,0.0876,29.6312,36.0528,97.2252
252,0.2984,19.0779,-139.2515,19.2449,1.0234,0.4661,5.1072,1.8866,2.1921,0.0851,30.2863,32.7028,98.7174
252.5,-0.0181,19.1373,-139.4878,19.1399,1.0368,0.4726,5.098,1.8866,2.1799,0.0839,31.0008,32.1661,96.6748
253,-0.2628,19.1791,-139.7299,19.1196,1.0601,0.4837,5.0937,1.8883,2.174,0.0857,31.3439,35.5554,90.0066
253.5,-0.4295,19.2961,-139.9755,19.1935,1.0912,0.4986,5.088,1.8895,2.1765,0.0892,31.1987,38.8714,83.713
254,-0.5953,19.4832,-140.2318,19.3408,1.115,0.5108,5.1072,1.8897,2.1821,0.0915,30.8709,38.7691,82.9391
254.5,-0.7857,19.8577,-140.5155,19.5367,1.1215,0.5163,5.0976,1.8897,2.184,0.0899,30.7626,36.6577,84.8211
255,-0.928,20.368,-140.8411,19.7494,1.1159,0.5155,5.0956,1.8897,2.1797,0.0844,31.0106,35.508,88.9874
255.5,-0.9109,20.8026,-141.2058,19.9302,1.1027,0.5098,5.0848,1.8897,2.1722,0.0777,31.4483,34.7619,93.4358
256,-0.6339,20.7649,-141.5789,20.0555,1.0843,0.5025,5.0971,1.8895,2.1659,0.073,31.8194,32.7362,94.2182
256.5,-0.1045,20.2168,-141.9067,20.1382,1.0744,0.5016,5.103,1.8883,2.1635,0.0705,31.9567,29.3175,91.0191
257,0.4837,19.778,-142.1322,20.1713,1.086,0.5095,5.0873,1.8871,2.166,0.0685,31.8113,26.0031,85.9171
257.5,0.9047,19.5958,-142.221,20.1277,1.1101,0.5183,5.0882,1.8881,2.1722,0.0658,31.4524,24.8526,86.1205
258,1.0712,19.434,-142.1785,19.9915,1.1298,0.5219,5.0983,1.8895,2.1791,0.0632,31.046,26.8297,93.2723
258.5,1.0025,19.2766,-142.0494,19.7532,1.1392,0.5213,5.1092,1.8896,2.1851,0.0623,30.695,30.7027,98.3245
259,0.7761,19.1161,-141.8975,19.4191,1.1419,0.5187,5.0947,1.8891,2.1912,0.0628,30.338,32.2977,96.1738
259.5,0.5351,18.8576,-141.7772,19.032,1.1429,0.5166,5.0936,1.8871,2.1984,0.063,29.9181,30.5591,91.1913
260,0.415,18.5483,-141.7103,18.6368,1.1467,0.5195,5.0833,1.8857,2.2056,0.0617,29.497,29.8584,88.9099
260.5,0.4657,18.1753,-141.6805,18.2532,1.1557,0.5317,5.1049,1.8867,2.2121,0.0599,29.1181,32.6774,90.1138
261,0.6473,17.5862,-141.6476,17.9076,1.1628,0.5467,5.0881,1.888,2.2191,0.0594,28.7063,37.5079,95.8923
261.5,0.7915,16.8873,-141.5731,17.6395,1.1604,0.5521,5.0853,1.8893,2.2276,0.0617,28.2134,41.5071,103.0313
262,0.6152,16.6155,-141.4422,17.468,1.1529,0.5496,5.0842,1.8896,2.2347,0.0653,27.7973,41.2519,105.5045
262.5,-0.0595,16.9859,-141.2718,17.3891,1.1439,0.5442,5.1069,1.8891,2.2361,0.0672,27.716,37.9422,100.4578
263,-1.1107,17.7866,-141.1018,17.3996,1.1324,0.5381,5.0989,1.8875,2.2307,0.0658,28.0305,36.5427,91.8649
263.5,-2.2198,18.5546,-140.9789,17.4967,1.1155,0.5308,5.0929,1.8868,2.2214,0.062,28.5752,37.0705,89.5778
264,-3.0548,19.3201,-140.9423,17.679,1.0887,0.518,5.0813,1.8872,2.2108,0.0577,29.1949,35.8744,91.8472
264.5,-3.3496,19.9564,-141.0166,17.9537,1.0566,0.5015,5.1017,1.8882,2.2006,0.0552,29.7908,33.8045,88.326
265,-3.0078,20.153,-141.2109,18.2999,1.0325,0.4886,5.0975,1.8886,2.1945,0.057,30.148,33.3566,83.0458
265.5,-2.1859,20.0274,-141.5156,18.6325,1.0168,0.4813,5.0846,1.8879,2.1971,0.0645,29.9954,33.6973,83.7681
266,-1.1704,19.6154,-141.9005,18.8582,1.0025,0.4785,5.0844,1.8886,2.2076,0.0753,29.3789,34.3841,87.9631
266.5,-0.2446,18.968,-142.3162,18.9308,0.986,0.4771,5.0963,1.8886,2.2174,0.0833,28.8051,35.3115,91.5607
267,0.3522,18.4774,-142.7056,18.8426,0.9643,0.4712,5.1078,1.8879,2.2173,0.0847,28.8108,36.0667,92.4405
267.5,0.5324,18.2257,-143.0191,18.6271,0.9378,0.4573,5.0924,1.8886,2.2071,0.0806,29.4085,36.9114,93.2076
268,0.4074,18.1333,-143.2275,18.3497,0.9082,0.4356,5.0849,1.8886,2.1948,0.0762,30.128,36.4309,94.3545
268.5,0.1595,18.0073,-143.3251,18.0663,0.8779,0.4112,5.0869,1.8879,2.1874,0.0755,30.5634,34.8485,96.3107
269,-0.1011,17.8346,-143.3273,17.7957,0.8526,0.3918,5.1064,1.8887,2.1846,0.0786,30.7229,34.6276,101.9165
269.5,-0.3383,17.6911,-143.2656,17.5375,0.8333,0.3787,5.0938,1.8895,2.1818,0.0829,30.8912,35.2741,106.2219
270,-0.5345,17.5666,-143.1811,17.2897,0.813,0.3681,5.0927,1.8897,2.1747,0.0857,31.3034,34.89,105.7992
270.5,-0.7192,17.3788,-143.1158,17.0278,0.7872,0.3581,5.0842,1.8897,2.1637,0.0861,31.9456,33.4215,103.6565
271,-0.9455,17.1724,-143.1017,16.7115,0.7613,0.3499,5.1055,1.8897,2.1527,0.0854,32.5881,30.6091,106.2241
271.5,-1.1957,16.973,-143.1521,16.319,0.743,0.3455,5.0891,1.8897,2.1455,0.0858,33.0119,27.6001,113.9221
272,-1.3503,16.6628,-143.2613,15.8669,0.7313,0.3447,5.0861,1.8897,2.1427,0.0882,33.1783,27.7944,122.0724
272.5,-1.2677,16.1202,-143.4101,15.4225,0.7247,0.3451,5.0872,1.8897,2.1437,0.0929,33.1161,31.3151,123.9301
273,-1.012,15.1305,-143.5741,15.069,0.7298,0.347,5.1089,1.8897,2.1498,0.1007,32.7613,34.7227,116.6229
273.5,-0.9955,14.3799,-143.7289,14.8271,0.7517,0.3542,5.0991,1.8897,2.161,0.1114,32.1032,35.7726,113.4306
274,-1.6106,14.8612,-143.8536,14.643,0.7826,0.3658,5.0968,1.8896,2.173,0.1213,31.402,34.5197,118.1892
274.5,-2.726,15.8051,-143.934,14.4698,0.8121,0.3765,5.0858,1.8891,2.1797,0.1251,31.0129,33.4338,119.0613
275,-3.8563,16.0329,-143.965,14.3105,0.8425,0.3865,5.1023,1.8875,2.1801,0.1216,30.9895,32.9385,117.6984
275.5,-4.6567,16.0155,-143.9507,14.1988,0.8779,0.3986,5.1023,1.8875,2.1791,0.1147,31.0477,31.9356,118.0032
276,-5.0305,16.1148,-143.8988,14.1751,0.9171,0.4147,5.0851,1.8891,2.1813,0.109,30.918,32.1438,122.345
276.5,-5.0364,16.2731,-143.8108,14.2434,0.9566,0.4342,5.0852,1.8896,2.1869,0.1054,30.5888,35.0834,127.9617
277,-4.8265,16.355,-143.675,14.3587,0.9948,0.4547,5.0975,1.8891,2.1934,0.1017,30.21,38.841,124.086
277.5,-4.5646,16.2633,-143.4661,14.4875,1.0331,0.4747,5.1055,1.8874,2.1985,0.0964,29.9145,40.1681,117.2994
278,-4.4375,16.0616,-143.1545,14.628,1.0729,0.4928,5.0926,1.8869,2.2006,0.0906,29.7885,40.0946,116.0321
278.5,-4.6375,16.2871,-142.7237,14.7776,1.1091,0.5054,5.0934,1.8867,2.1989,0.0868,29.887,41.1989,113.9886
279,-5.1606,16.9678,-142.1871,14.9429,1.1344,0.5122,5.0893,1.8861,2.1946,0.086,30.1429,42.833,105.6678
279.5,-5.7699,17.6208,-141.5939,15.1482,1.1541,0.5188,5.109,1.8864,2.1912,0.0883,30.3396,42.9194,94.0201
280,-6.2269,18.151,-141.0136,15.4064,1.177,0.5266,5.0878,1.8867,2.1914,0.0923,30.327,41.0543,88.9455
280.5,-6.3979,18.6447,-140.5043,15.7198,1.1969,0.532,5.0872,1.8864,2.1934,0.0947,30.2126,40.0025,91.9218
281,-6.2258,19.0346,-140.0845,16.092,1.2067,0.5331,5.0843,1.8864,2.1932,0.0928,30.2203,41.0376,97.1945
281.5,-5.7602,19.2405,-139.7318,16.5043,1.2079,0.5319,5.1063,1.8868,2.1894,0.0871,30.4453,42.0185,102.6919
282,-5.1473,19.3672,-139.4096,16.9145,1.2049,0.5307,5.0984,1.8862,2.1825,0.0797,30.8499,41.5262,107.9921
282.5,-4.5473,19.4387,-139.1009,17.2894,1.2041,0.5303,5.0926,1.8853,2.1734,0.0712,31.3802,40.1179,111.4333
283,-4.1001,19.4134,-138.8188,17.6154,1.2092,0.5302,5.0827,1.8862,2.1638,0.0617,31.9414,37.6219,111.5217
283.5,-3.8848,19.5905,-138.5881,17.8951,1.2131,0.53,5.1029,1.8875,2.1565,0.0527,32.3688,33.4613,111.0713
284,-3.8364,20.017,-138.4153,18.1542,1.2072,0.5283,5.098,1.8882,2.1529,0.0463,32.5789,29.4879,108.6296
284.5,-3.7911,20.4298,-138.2738,18.4185,1.1913,0.5232,5.0961,1.8883,2.1524,0.0435,32.6087,28.7027,103.6983
285,-3.6154,20.674,-138.1127,18.6901,1.1688,0.5156,5.0861,1.8873,2.1554,0.0447,32.433,31.0882,99.114
285.5,-3.2562,20.7372,-137.8821,18.957,1.1486,0.5087,5.0961,1.8864,2.1631,0.05,31.9825,33.1604,95.5674
286,-2.745,20.7369,-137.5581,19.1932,1.1381,0.5047,5.1058,1.886,2.1732,0.0571,31.391,32.6029,94.898
286.5,-2.16,20.6103,-137.155,19.3611,1.1399,0.5059,5.0923,1.8865,2.1809,0.0622,30.9402,31.6455,96.343
287,-1.5755,20.3452,-136.7217,19.4366,1.1556,0.5129,5.0863,1.8883,2.1847,0.0633,30.7166,33.5235,95.6643
287.5,-1.0548,19.9748,-136.3266,19.4302,1.178,0.5205,5.0869,1.8895,2.187,0.0614,30.5823,37.9022,88.901
288,-0.682,19.5001,-136.0363,19.3842,1.1864,0.5213,5.1053,1.8897,2.1887,0.0573,30.4858,41.099,82.9977
288.5,-0.5787,19.2471,-135.8992,19.3358,1.1713,0.5152,5.092,1.8897,2.1876,0.0512,30.5473,42.5853,90.532
289,-0.8176,19.4303,-135.9366,19.2899,1.1451,0.5063,5.0908,1.8895,2.1825,0.0443,30.8496,44.7342,107.8664
289.5,-1.2862,19.9663,-136.1422,19.2331,1.1142,0.4945,5.0869,1.8883,2.1744,0.0385,31.3233,45.283,118.1179
290,-1.7043,20.3963,-136.4889,19.1608,1.0783,0.4804,5.1092,1.8869,2.1673,0.0361,31.7358,41.4403,114.6957
290.5,-1.8152,20.3432,-136.9366,19.0839,1.0435,0.4669,5.0898,1.8868,2.1672,0.0392,31.7449,36.609,104.1065
291,-1.5594,19.8846,-137.4413,19.0112,1.019,0.4562,5.087,1.8868,2.1766,0.0476,31.1933,34.6358,93.8261
291.5,-1.0808,19.4513,-137.9603,18.9304,1.0074,0.449,5.0872,1.8875,2.1907,0.0572,30.3665,35.814,92.3759
292,-0.5905,19.0705,-138.4553,18.8108,1.0061,0.4451,5.1062,1.8877,2.2011,0.0625,29.7628,38.8552,98.2437
292.5,-0.2278,18.7094,-138.8883,18.6317,1.0092,0.4428,5.0974,1.8871,2.2037,0.0616,29.6053,41.1533,102.6695
293,-0.0443,18.3793,-139.2165,18.3988,1.0075,0.4404,5.0961,1.8875,2.2023,0.0573,29.691,40.0814,106.0664
293.5,-0.0842,18.0231,-139.3893,18.1336,0.9997,0.4378,5.0864,1.8891,2.2022,0.0532,29.6975,35.9912,111.4679
294,-0.3825,17.7302,-139.3517,17.8764,0.9935,0.4359,5.1035,1.8891,2.205,0.0512,29.5342,31.8755,119.8673
294.5,-0.9085,17.8511,-139.056,17.6693,0.9925,0.4348,5.1024,1.8875,2.2076,0.0507,29.3811,30.9399,126.2437
295,-1.5342,18.2555,-138.4785,17.5301,0.9931,0.4353,5.0835,1.8873,2.2065,0.0508,29.4463,32.2305,125.143
295.5,-2.0608,18.5499,-137.6352,17.461,0.9888,0.4369,5.0825,1.8881,2.2017,0.0514,29.7246,31.6164,121.2615
296,-2.3341,18.6508,-136.5891,17.4577,0.9767,0.4366,5.0946,1.8876,2.1963,0.0519,30.0438,29.8854,115.432
296.5,-2.3108,18.6616,-135.4367,17.5113,0.9611,0.4342,5.1052,1.8877,2.192,0.051,30.2917,30.4136,107.3952
297,-2.0432,18.6382,-134.278,17.6019,0.9514,0.4334,5.0919,1.8891,2.1892,0.0477,30.4546,32.3242,99.9545
297.5,-1.6596,18.5083,-133.1839,17.6866,0.9535,0.4356,5.0933,1.8896,2.1882,0.0439,30.5131,33.5085,91.8805
298,-1.2994,18.3521,-132.1845,17.726,0.9631,0.4376,5.0888,1.8892,2.189,0.0422,30.4697,34.5742,86.4746
298.5,-1.0652,18.1275,-131.286,17.7164,0.9703,0.4364,5.1073,1.8885,2.1898,0.0425,30.4224,36.1635,89.472
299,-1.0456,17.9541,-130.498,17.6827,0.9673,0.4323,5.0934,1.8885,2.1884,0.043,30.502,35.4913,94.3552
299.5,-1.2997,17.9462,-129.8455,17.6627,0.9512,0.4259,5.0938,1.8888,2.1838,0.0423,30.7715,31.6326,100.1363
300,-1.7832,18.2876,-129.3584,17.6939,0.9258,0.4183,5.0894,1.8895,2.1759,0.0406,31.2314,28.4647,107.821
300.5,-2.3289,18.9082,-129.0491,17.7874,0.899,0.4104,5.1098,1.8897,2.1654,0.0384,31.8481,27.7609,108.7272
